ID;Group;Story;Em.Happiness;Em.Joy;Em.Pride;Em.Boredom;Em.Fear;Em.Sadness;Em.Shame;sum;Emo.Happiness;Emo.Joy;Emo.Pride;Emo.Boredom;Emo.Fear;Emo.Sadness;Emo.Shame
6060e43191846b1e5c04f4b5;9;Sadness;3;8;1;3;9;9;3;36;0.083333333;0.222222222;0.027777778;0.083333333;0.25;0.25;0.083333333
6173c5b0aa4bc2370fd2c1f2;9;Sadness;2;2;3;3;4;8;4;26;0.076923077;0.076923077;0.115384615;0.115384615;0.153846154;0.307692308;0.153846154
604294f7bacd9a1a46cf4da5;9;Sadness;0;0;0;0;8;10;0;18;0;0;0;0;0.444444444;0.555555556;0
6060e43191846b1e5c04f4b5;9;Happiness;9;9;10;3;4;1;1;37;0.243243243;0.243243243;0.27027027;0.081081081;0.108108108;0.027027027;0.027027027
6173c5b0aa4bc2370fd2c1f2;9;Happiness;8;8;7;3;1;2;2;31;0.258064516;0.258064516;0.225806452;0.096774194;0.032258065;0.064516129;0.064516129
604294f7bacd9a1a46cf4da5;9;Happiness;6;6;8;0;3;0;0;23;0.260869565;0.260869565;0.347826087;0;0.130434783;0;0
6060e43191846b1e5c04f4b5;9;Boredom;4;5;6;8;3;5;3;34;0.117647059;0.147058824;0.176470588;0.235294118;0.088235294;0.147058824;0.088235294
6173c5b0aa4bc2370fd2c1f2;9;Boredom;2;3;3;9;4;3;3;27;0.074074074;0.111111111;0.111111111;0.333333333;0.148148148;0.111111111;0.111111111
604294f7bacd9a1a46cf4da5;9;Boredom;3;3;4;8;2;1;2;23;0.130434783;0.130434783;0.173913043;0.347826087;0.086956522;0.043478261;0.086956522
6060e43191846b1e5c04f4b5;9;Pride;9;9;10;1;2;0;0;31;0.290322581;0.290322581;0.322580645;0.032258065;0.064516129;0;0
6173c5b0aa4bc2370fd2c1f2;9;Pride;8;8;8;1;2;1;4;32;0.25;0.25;0.25;0.03125;0.0625;0.03125;0.125
604294f7bacd9a1a46cf4da5;9;Pride;10;10;10;0;0;0;0;30;0.333333333;0.333333333;0.333333333;0;0;0;0
6060e43191846b1e5c04f4b5;9;Shame;0;0;0;2;10;9;10;31;0;0;0;0.064516129;0.322580645;0.290322581;0.322580645
6173c5b0aa4bc2370fd2c1f2;9;Shame;1;2;0;2;7;7;7;26;0.038461538;0.076923077;0;0.076923077;0.269230769;0.269230769;0.269230769
604294f7bacd9a1a46cf4da5;9;Shame;0;0;0;0;10;10;10;30;0;0;0;0;0.333333333;0.333333333;0.333333333
6060e43191846b1e5c04f4b5;9;Fear;0;0;0;0;9;6;5;20;0;0;0;0;0.45;0.3;0.25
6173c5b0aa4bc2370fd2c1f2;9;Fear;1;0;1;2;9;7;5;25;0.04;0;0.04;0.08;0.36;0.28;0.2
604294f7bacd9a1a46cf4da5;9;Fear;0;0;0;0;10;4;4;18;0;0;0;0;0.555555556;0.222222222;0.222222222
5f01b5eb119f9500099dfb62;10;Pride;10;10;10;0;0;0;0;30;0.333333333;0.333333333;0.333333333;0;0;0;0
54d69a97fdf99b2d84311c1f;10;Pride;10;6;10;0;0;0;0;26;0.384615385;0.230769231;0.384615385;0;0;0;0
60fd1bbf78b82433e490d733;10;Pride;10;10;10;0;6;0;0;36;0.277777778;0.277777778;0.277777778;0;0.166666667;0;0
5f01b5eb119f9500099dfb62;10;Fear;0;0;0;0;10;3;6;19;0;0;0;0;0.526315789;0.157894737;0.315789474
